Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio
3296.T,NIPPON REIT Investment Corporation,-,0.31,-0.003
8972.T,KDX Realty Investment Corporation,-,0.31,-0.06
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.32,-0.015
8952.T,Japan Real Estate Investment Corporation,-,0.33,-0.115
8951.T,Nippon Building Fund Inc.,-,0.36,-0.075
3290.T,"One REIT,Inc.",-,0.37,-0.001
8955.T,Japan Prime Realty Investment Corporation,-,0.38,-0.006
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.45,-0.091
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.49,-0.042
3287.T,"Hoshino Resorts REIT,Inc.",-,0.55,-0.002
3468.T,Star Asia Investment Corporation,-,0.57,-0.017
8984.T,Daiwa House REIT Investment Corporation,-,0.59,-0.023
3282.T,"Comforia Residential REIT,Inc",-,0.61,
8961.T,"MORI TRUST REIT,Inc.",-,0.61,-0.063
8967.T,"Japan Logistics Fund,Inc.",-,0.66,0.041
8976.T,Daiwa Office Investment Corporation,-,0.66,0.024
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.72,-0.029
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.8,-0.209
8954.T,ORIX JREIT Inc.,-,0.8,-0.067
3492.T,MIRARTH Real Estate Investment Corporation,-,0.88,-0.061
9204.T,Skymark Airlines Inc.,Air Transportation,0.72,-0.386
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.89,0.264
9202.T,ANA HOLDINGS INC.,Air Transportation,0.92,0.369
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,1.02,0.521
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.57,N/A
9206.T,Star Flyer Inc.,Air Transportation,1.58,2.018
7161.T,"Jimoto Holdings,Inc.",Banks,0.15,N/A
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.22,N/A
8537.T,"THE TAIKO BANK,LTD.",Banks,0.3,N/A
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.31,N/A
8542.T,"TOMATO BANK,LTD.",Banks,0.32,N/A
