Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
3296.T,NIPPON REIT Investment Corporation,-,0.29,-0.003,47.14
8972.T,KDX Realty Investment Corporation,-,0.29,-0.06,50.4
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.3,-0.015,56.12
8952.T,Japan Real Estate Investment Corporation,-,0.32,-0.115,50.42
3290.T,"One REIT,Inc.",-,0.35,-0.001,45.8
8951.T,Nippon Building Fund Inc.,-,0.35,-0.075,50.33
8955.T,Japan Prime Realty Investment Corporation,-,0.36,-0.006,50.24
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.4,-0.091,46.36
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.46,-0.042,54.38
3287.T,"Hoshino Resorts REIT,Inc.",-,0.5,-0.002,58.14
3468.T,Star Asia Investment Corporation,-,0.55,-0.017,49.28
8984.T,Daiwa House REIT Investment Corporation,-,0.55,-0.023,53.26
3282.T,"Comforia Residential REIT,Inc",-,0.56,,N/A
8961.T,"MORI TRUST REIT,Inc.",-,0.63,-0.063,48.81
8976.T,Daiwa Office Investment Corporation,-,0.64,0.024,49.66
8967.T,"Japan Logistics Fund,Inc.",-,0.66,0.041,52.2
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.69,-0.029,48.85
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.73,-0.209,52.93
9284.T,"Canadian Solar Infrastructure Fund,Inc.",-,0.75,-0.046,49.0
8954.T,ORIX JREIT Inc.,-,0.78,-0.067,48.96
9204.T,Skymark Airlines Inc.,Air Transportation,0.75,-0.351,28.03
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,0.86,0.521,55.42
9202.T,ANA HOLDINGS INC.,Air Transportation,0.92,0.442,37.72
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.97,0.343,40.32
9206.T,Star Flyer Inc.,Air Transportation,1.01,2.018,17.5
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.46,N/A,N/A
92015.T,"Series 1 Bond-Type Class Shares of Japan Airlines Co.,Ltd. ",Air Transportation,3.42,0.343,40.32
7161.T,"Jimoto Holdings,Inc.",Banks,0.15,N/A,3.53
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.25,N/A,3.97
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.29,N/A,4.48
8542.T,"TOMATO BANK,LTD.",Banks,0.3,N/A,4.14
8537.T,"THE TAIKO BANK,LTD.",Banks,0.31,N/A,4.75
7150.T,"THE SHIMANE BANK,LTD.",Banks,0.32,N/A,2.19
8364.T,"THE SHIMIZU BANK,LTD.",Banks,0.36,N/A,4.37
8349.T,"THE TOHOKU BANK,LTD.",Banks,0.4,N/A,3.27
8365.T,"The Bank of Toyama,Ltd.",Banks,0.4,N/A,5.53
8713.T,FIDEA Holdings Co.Ltd.,Banks,0.42,N/A,2.94
8563.T,"THE DAITO BANK,LTD.",Banks,0.43,N/A,3.35
8338.T,"Tsukuba Bank,Ltd.",Banks,0.47,N/A,3.73
8562.T,"THE FUKUSHIMA BANK,LTD.",Banks,0.49,N/A,3.0
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,0.52,N/A,6.08
8558.T,"THE TOWA BANK,LTD.",Banks,0.52,N/A,3.72
8600.T,"TOMONY Holdings,Inc.",Banks,0.59,N/A,5.67
8550.T,"THE TOCHIGI BANK,LTD.",Banks,0.6,N/A,4.77
8541.T,"The Ehime Bank,Ltd.",Banks,0.63,N/A,4.68
7384.T,"Procrea Holdings,Inc.",Banks,0.67,N/A,2.78
8343.T,"THE AKITA BANK,LTD.",Banks,0.68,N/A,4.99
4102.T,"Maruo Calcium Co.,Ltd.",Chemicals,0.3,0.545,58.82
4234.T,"Sun A.Kaken Company,Limited",Chemicals,0.3,0.44,57.41
4222.T,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.33,0.485,42.35
4615.T,"SHINTO PAINT COMPANY,LIMITED",Chemicals,0.33,0.057,41.97
7928.T,"ASAHI KAGAKU KOGYO CO.,LTD.",Chemicals,0.33,0.371,79.23
4625.T,"ATOMIX CO.,LTD.",Chemicals,0.35,0.514,68.63
7877.T,"EIDAI KAKO CO.,LTD.",Chemicals,0.35,0.604,73.22
4624.T,"Isamu Paint Co.,Ltd.",Chemicals,0.36,0.421,82.5
4406.T,"New Japan Chemical Co.,Ltd.",Chemicals,0.38,0.496,48.93
5142.T,Achilles Corporation,Chemicals,0.38,0.558,51.76
4119.T,Nippon Pigment Holdings Company Limited,Chemicals,0.4,0.471,49.21
4242.T,TAKAGI SEIKO CORPORATION,Chemicals,0.4,0.434,38.36
6776.T,"Tensho Electric Industries Co.,Ltd.",Chemicals,0.4,0.174,52.39
3878.T,TOMOEGAWA CORPORATION,Chemicals,0.41,0.099,34.69
4031.T,Katakura & Co-op Agri Corporation,Chemicals,0.41,0.319,46.83
4623.T,ASAHIPEN CORPORATION,Chemicals,0.42,0.355,57.75
4231.T,TIGERS POLYMER CORPORATION,Chemicals,0.43,0.549,75.4
4235.T,"Ultrafabrics Holdings Co.,Ltd.",Chemicals,0.44,0.004,45.77
4243.T,"NIX,INC.",Chemicals,0.45,0.664,74.66
7871.T,"FUKUVI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.45,0.574,72.62
1443.T,"Giken Holdings Co.,Ltd.",Construction,0.31,0.085,70.71
1897.T,"The Kaneshita Construction Co.,Ltd.",Construction,0.32,0.581,82.25
1994.T,TAKAHASHI CURTAIN WALL CORPORATION,Construction,0.39,0.538,85.49
1718.T,"MIKIKOGYO CO.,LTD.",Construction,0.42,0.388,44.3
1420.T,Sanyo Homes Corporation,Construction,0.46,1.485,35.59
1811.T,THE ZENITAKA CORPORATION,Construction,0.49,0.237,52.99
