Ticker,Name,Sector,P/E Ratio,Equity Ratio %
3279.T,Activia Properties Inc.,-,0.02,47.72
1629.T,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,-,0.04,N/A
2846.T,NEXT FUNDS DJIA (Yen-Hedged) Exchange Traded Fund,-,1.0,N/A
1546.T,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,-,1.01,N/A
1306.T,NEXT FUNDS TOPIX Exchange Traded Fund,-,1.79,N/A
2633.T,NEXT FUNDS S&P 500 (Unhedged) Exchange Traded Fund,-,2.53,N/A
2634.T,NEXT FUNDS S&P 500 (Yen-Hedged) Exchange Traded Fund,-,2.57,N/A
364A.T,NEXT FUNDS S&P 500 Dividend Aristocrats Index Exchange Traded Fund,-,2.75,N/A
346A.T,NEXT FUNDS S&P 500 Semiconductors & Semiconductor Equipment (Industry Group) 35% Capped Index Exchange Traded Fund,-,2.81,N/A
1545.T,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,-,3.09,N/A
2845.T,NEXT FUNDS NASDAQ-100(R) (Yen-Hedged) Exchange Traded Fund,-,3.32,N/A
487A.T,NEXT FUNDS German Equity DAX (Unhedged) Exchange Traded Fund,-,7.08,N/A
2860.T,NEXT FUNDS German Equity DAX (Yen-Hedged) Exchange Traded Fund,-,7.24,N/A
1495.T,Listed Index Fund Asian REIT,-,7.52,N/A
3290.T,"One REIT,Inc.",-,7.56,45.8
1627.T,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,-,7.78,N/A
3463.T,Ichigo Hotel REIT Investment Corporation,-,8.09,54.3
1557.T,State Street SPDR S&P 500 ETF Trust,-,9.14,N/A
1632.T,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,-,9.78,N/A
1497.T,iShares USD High Yield Corporate Bond JPY Hedged ETF,-,10.52,N/A
9204.T,Skymark Airlines Inc.,Air Transportation,6.4,26.1
9206.T,Star Flyer Inc.,Air Transportation,6.44,17.5
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,9.21,34.89
9202.T,ANA HOLDINGS INC.,Air Transportation,10.2,31.22
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,12.35,55.42
8558.T,"THE TOWA BANK,LTD.",Banks,6.55,3.8
8713.T,FIDEA Holdings Co.Ltd.,Banks,8.73,2.64
8563.T,"THE DAITO BANK,LTD.",Banks,9.18,3.74
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,10.67,5.66
8395.T,THE BANK OF SAGA LTD.,Banks,10.86,3.66
8541.T,"The Ehime Bank,Ltd.",Banks,10.9,4.57
8537.T,"THE TAIKO BANK,LTD.",Banks,11.19,4.47
8383.T,"THE TOTTORI BANK,LTD.",Banks,11.26,4.34
8365.T,"The Bank of Toyama,Ltd.",Banks,12.09,5.19
8303.T,"SBI Shinsei Bank,Limited",Banks,12.35,4.7
8309.T,"Sumitomo Mitsui Trust Group,Inc.",Banks,12.61,3.96
